"Geo Location","ST","Latitude","Longitude","CRF_Link"
"BAKERSFIELD","CA",35.37,-119.01,0
"BALTIMORE","MD",39.29,-76.61,0
"BATON ROUGE","LA",30.45,-91.14,0
"BATTLE CREEK","MI",42.32,-85.17,0
"BAYAMON","PR",18.36,-66.16,0
"BEAUFORT MCAS","SC",32.47,-80.72,0
"BELLE CHASSE","GA",33.91,-84.84,0
"BELLE CHASSE","LA",29.85,-89.99,0
"BESSEMER","AL",33.40,-86.95,0
"BILLINGS","MT",45.78,-108.50,0
"BOISE","ID",43.61,-116.23,0
"BOSSIER CITY","LA",32.51,-93.73,0
"BRIDGEPORT","CA",38.25,-119.23,0
"BRIDGETON","MO",38.76,-90.41,0
"BROKEN ARROW","OK",36.05,-95.79,0
"BROOKLYN","NY",40.65,-73.95,0
"BROOKPARK","OH",41.41,-81.80,0
"BRUNSWICK","ME",43.91,-69.96,0
"BUFFALO","NY",42.88,-78.87,0
"CHARLESTON, SC","SC",32.77,-79.93,0
"CHARLESTON, WV","WV",38.34,-81.63,0
"CHARLOTTE","NC",35.22,-80.84,0
"CHATTANOOGA","TN",35.04,-85.30,0
"CHERRY POINT MCAS","NC",34.89,-76.90,0
"CHEYENNE","WY",41.13,-104.82,0
"CHICAGO","IL",41.87,-87.62,0
"CHICOPEE","MA",42.14,-72.60,0
"CINCINNATI","OH",39.10,-84.51,0
"COLUMBIA","SC",34.00,-81.03,0
"COLUMBUS","OH",39.96,-82.99,0
"CONCORD","CA",37.97,-122.03,0
"CORONADO NAB","CA",32.67,-117.15,0
"CORPUS CHRISTI","TX",27.80,-97.39,0
"CP FUJI","JP",35.16,138.67,0
"CP LEJEUNE","NC",34.59,-77.34,0
"CP PARKS","CA",37.70,-121.89,0
"CP PENDLETON","CA",33.31,-117.31,0
"DAM NECK","VA",36.78,-75.97,0
"DAYTON","OH",39.75,-84.19,0
"DES MOINES","IA",41.60,-93.60,0
"DEVENS","MA",42.53,-71.61,0
"DOVER","NJ",40.88,-74.56,0
"EASTOVER","SC",33.87,-80.69,0
"EBENSBURG","PA",40.48,-78.72,0
"EDWARDS AFB","CA",34.90,-117.87,0
"EL PASO","TX",31.75,-106.48,0
"ERIE","PA",42.12,-80.08,0
"EUGENE","OR",44.05,-123.08,0
"FOLSOM","PA",39.88,-75.32,0
"FOREST PARK","GA",33.62,-84.36,0
"FT DETRICK","MD",39.43,-77.42,0
"FT DIX","NJ",40.02,-74.61,0
"FT KNOX","KY",37.91,-85.95,0
"FT LEE","VA",37.24,-77.33,0
"FT LEONARD WOOD","MO",37.73,-92.11,0
"FT LEWIS","WA",47.11,-122.57,0
"FT SHERIDAN","IL",42.21,-87.81,0
"FT WORTH","TX",32.72,-97.32,0
"GALVESTON","TX",29.30,-94.79,0
"GARDEN CITY","NY",40.72,-73.63,0
"GRAND PRAIRIE","TX",32.74,-96.99,0
"GRAND RAPIDS","MI",42.96,-85.66,0
"GREAT LAKES","IL",42.30,-87.85,0
"GREEN BAY","WI",44.51,-88.01,0
"GREENSBORO","NC",36.07,-79.79,0
"GREENVILLE","SC",34.85,-82.39,0
"GULF PORT","MS",30.36,-89.09,0
"HARLINGEN","TX",26.19,-97.69,0
"HARRISBURG","PA",40.27,-76.88,0
"HIALEAH","FL",25.85,-80.27,0
"HOUSTON","TX",29.76,-95.36,0
"HUNTSVILLE","AL",34.73,-86.58,0
"INDIAN HEAD","MD",38.60,-77.16,0
"INDIANAPOLIS","IN",39.76,-86.15,0
"IWAKUNI MCAS","JP",34.16,132.21,0
"JACKSON","MS",32.29,-90.18,0
"JACKSONVILLE","FL",30.33,-81.65,0
"JOHNSON CITY","TN",36.31,-82.35,0
"JOHNSTOWN","PA",40.32,-78.92,0
"JOLIET","IL",41.52,-88.08,0
"KANEOHE BAY","HI",21.43,-158.00,0
"KANSAS CITY, KS","KS",39.11,-94.62,0
"KANSAS CITY, MO","MO",39.09,-94.57,0
"KNOXVILLE","TN",35.96,-83.92,0
"LAFAYETTE","LA",30.22,-92.01,0
"LANSING","MI",42.73,-84.55,0
"LAKEWOOD","NJ",40.07,-74.20,0
"LAS VEGAS","NV",36.11,-115.17,0
"LATHROP","CA",37.82,-121.27,0
"LEMOORE","CA",36.30,-119.78,0
"LEXINGTON","KY",38.04,-84.50,0
"LITTLE ROCK","AR",34.74,-92.28,0
"LONDONDERRY","NH",42.86,-71.37,0
"LONG BEACH","CA",33.76,-118.19,0
"LOS ALAMITOS","CA",33.80,-118.07,0
"LUBBOCK","TX",33.57,-101.85,0
"LYNCHBURG","VA",37.41,-79.14,0
"MACON","GA",32.84,-83.63,0
"MADISON","WI",43.07,-89.40,0
"MARIETTA","GA",33.95,-84.55,0
"MEMPHIS","TN",35.14,-90.04,0
"MILWAUKEE","WI",43.03,-87.90,0
"MINNEAPOLIS","MN",44.98,-93.26,0
"MIRAMAR","CA",37.49,-122.45,0
"MOBILE","AL",30.69,-88.04,0
"MONTGOMERY","AL",32.36,-86.30,0
"MOUNDSVILLE","WV",39.92,-80.74,0
